ID,techName,name,type,responsible,masterLanguage,masterSystem,description,version,changedAt,changedBy,createdAt,createdBy,parent_ID
e85c7a45-3bea-4ac1-83d8-61bdc8d91e05,ZCHRIS,ZCHRIS,DEVC/K,BAUERC,DE,EC3,Entwicklungsklasse Programme für Trainingsbedarf,active,2002-09-11T22:00:00Z,BAUERC,2002-09-11T22:00:00Z,BAUERC,d7b3bd60-8e0c-4f70-9dd7-3c33413140fa
bab0ca05-2102-4c77-8912-88150246ea0e,ZCFS_PDF,ZCFS_PDF,DEVC/K,,,,,active,,,,,0832e0b9-2907-4159-a701-0298a0107c6b
3b70e63f-1a40-4645-81ff-9845c2bb85ec,ZCSM_EXECUTIVE,ZCSM_EXECUTIVE,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
d9630eda-7052-4e8b-b2f3-74116e7f84dd,ZSK2407A,ZSK2407A,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
9840cb54-e398-48bf-9238-c34e2df3608e,ZSMNAM_CAT2,ZSMNAM_CAT2,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
db0bbb2b-d742-4cbd-b0fc-ae7bcfc1acdc,ZTDCLOGON_INFO,ZTDCLOGON_INFO,DEVC/K,,,,,active,,,,,e85c7a45-3bea-4ac1-83d8-61bdc8d91e05
9b88f030-e5ee-43d5-8fca-386e95626e59,ZCSM_MANUAL_UPD,ZCSM_MANUAL_UPD,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
6cbfc3d0-14fd-466e-b5b7-0f4befb9d25e,ZSK3001A,ZSK3001A,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
9f304c5c-b740-4f40-a2d6-321b63a68ec8,ZTDCLOGON_SCREEN,ZTDCLOGON_SCREEN,DEVC/K,,,,,active,,,,,e85c7a45-3bea-4ac1-83d8-61bdc8d91e05
7c86fff1-e213-4d2b-b45c-ffec98b5f616,ZCAT2_MATTER,ZCAT2_MATTER,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
df00c681-8841-460c-b351-a9e61f4ad3a4,ZCSM_NOMADIC,ZCSM_NOMADIC,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
688d7c69-bf1e-4c5c-8473-3a191d45569a,ZT-IDES-PP-P100-400,ZT-IDES-PP-P100-400,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
7982dadc-395d-4e73-a9e6-0c1d6f70452c,ZTDC_PROFILE_CHANGE,ZTDC_PROFILE_CHANGE,DEVC/K,,,,,active,,,,,e85c7a45-3bea-4ac1-83d8-61bdc8d91e05
d94cb73e-4b4b-4656-a4ca-3fca98d2b62d,ZCSM_OMC,ZCSM_OMC,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
65730355-e6cf-4f71-9548-0a03eeb9a56e,ZCAT2_WRKDIS,ZCAT2_WRKDIS,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
f643858d-b17c-4107-a483-e2a9935f676b,ZT-IDES-PP-P100-800,ZT-IDES-PP-P100-800,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
0d1a3cbf-e422-4bc6-8b4c-b3a60176b9a2,ZVB_BIC_BATCH_STATUS,ZVB_BIC_BATCH_STATUS,DEVC/K,,,,,active,,,,,e85c7a45-3bea-4ac1-83d8-61bdc8d91e05
fa3c7b65-3068-464e-abb0-863f54c775a0,ZCATSHOURS,ZCATSHOURS,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
96d3ceb4-81f4-4e1f-bf31-1966bbafda73,ZCSM_PAYG19_25,ZCSM_PAYG19_25,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
3ead13ba-3fb5-4ceb-8bbe-7c5fe6e36bd3,ZT61TST3,ZT61TST3,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
6cf46a7a-21a8-4c44-9c17-2e5aebc4a6f5,SAPLZTDCLOGON_INFO,ZTDCLOGON_INFO,DEVC/K,,,,,active,,,,,e85c7a45-3bea-4ac1-83d8-61bdc8d91e05
4a3dfb89-3cb7-4809-8d29-0ca0ea26501d,ZLOC,ZLOC,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
37681ce4-b5ee-4b44-ac33-5571ca2be0aa,ZTH1908A,ZTH1908A,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
15a4da38-00d6-4c7c-ba66-cb19694ecb90,ZCSM_PAYG1_18,ZCSM_PAYG1_18,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
5e962c93-ec0f-44de-8436-d2e300da5ddd,ZPOSNR,ZPOSNR,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
35f324bd-6bc6-4cca-860f-b657f6ff5d60,ZCK,ZCK,DEVC/K,D028438,EN,EC3,Lumira / TR-Reporting,active,2015-12-02T23:00:00Z,D028438,2015-12-02T23:00:00Z,D028438,d7b3bd60-8e0c-4f70-9dd7-3c33413140fa
287c690a-37f6-4254-b7cd-7f6861026a97,ZCSM_SPACE_MATRIX_PARAM,ZCSM_SPACE_MATRIX_PARAM,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
