ID,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,DESCRIPTION_TEXT_LIMIT,SOURCE_CODE,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
82eb5793-47d2-423b-9c92-9575c6f4ac27,false,executableProgram,,true,true,,,ZSK_BOESER_WULF,PROG/P,KLOSES,DE,EC3,CCSELTABEINTRAEGE auf Peendet setzen,active,2016-09-02T20:23:17Z,KLOSES,1999-11-25T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
37695a90-b743-49d5-94c7-6c17cf983c70,false,executableProgram,,true,true,,,ZSK_CATT_NO,PROG/P,KLOSES,DE,EC3,switches CATT execution off in ID3,active,2016-09-02T20:23:17Z,KLOSES,1998-07-22T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
6e765f35-9a98-4b84-87b0-b50d1b1d2cb2,false,executableProgram,,true,true,,,ZSK_CATT_YES,PROG/P,KLOSES,DE,EC3,allows catt exection if ID3,active,2016-09-02T20:23:17Z,KLOSES,1998-07-22T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
71f8d31d-bb63-4b31-9b90-ed0c2e498d4a,false,executableProgram,,true,true,,,ZSK_DELETE_LOGSYSTEM_TKA01,PROG/P,KLOSES,DE,EC3,tka01 logischen system putzen,active,2016-09-02T20:23:17Z,KLOSES,1998-03-18T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
4e10a2f0-badd-4546-8f45-4e2019324725,false,executableProgram,,true,true,,,ZSK_FI01,PROG/P,KLOSES,DE,DI0,hr daten holen,active,2016-09-02T20:23:18Z,C5056040,1997-10-13T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
c461f8c8-4c30-4ce4-81d8-567f703bb8a1,false,executableProgram,,true,true,,,ZSK_GET_CATTS,PROG/P,KLOSES,DE,EC3,transfer excel from MLP to table in ID3,active,2016-09-02T20:23:18Z,C5056040,1998-07-13T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
30b94a19-bdae-40de-9d98-c15db84ace97,false,executableProgram,,true,true,,,ZSK_GET_EXCEL,PROG/P,KLOSES,DE,EC3,transfer excel from MLP to table in ID3,active,2016-09-02T20:23:18Z,C5056040,1998-04-01T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
462f3eae-c0e4-422b-b0e0-8431b342d2b7,false,executableProgram,,true,true,,,ZSK_GET_ID3400MLP,PROG/P,KLOSES,DE,EC3,transview logfile übertragen,active,2016-09-02T20:23:18Z,C5056040,1998-03-27T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
b2bf719d-6b25-4c66-9485-d62d9b1d601c,false,executableProgram,,true,true,,,ZSK_HR01,PROG/P,KLOSES,DE,DI0,hr daten holen,active,2016-09-02T20:23:18Z,C5056040,1997-10-13T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
338aa902-e347-4ffd-a483-8a62c00ba6d8,false,executableProgram,,true,true,,,ZSK_HR02,PROG/P,KLOSES,DE,DI0,dsaf,active,2016-09-02T20:23:18Z,C5056040,1997-10-13T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
70e2d88f-590c-4231-87d3-3d769af4eabf,false,executableProgram,,true,true,,,ZSK_HR03,PROG/P,KLOSES,DE,EC3,"PB,PC tabellen",active,2016-09-02T20:23:18Z,KLOSES,1997-11-07T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
79ac4ecc-9e36-4f1f-b302-f2dbbc3b018f,false,executableProgram,,true,true,,,ZSK_IDES_CATTS,PROG/P,KLOSES,DE,EC3,execute IDES_CATTs,active,2016-09-02T20:23:18Z,KLOSES,1998-03-13T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
a43b5e49-50da-4911-91c8-94e7d79366d7,false,executableProgram,,true,true,,,ZSK_LANDEL,PROG/P,KLOSES,DE,EC3,sprachenlöscher,active,2016-09-02T20:23:18Z,KLOSES,1998-04-02T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
88ed64d7-2c56-4678-b4f0-3048d2b96f4a,false,executableProgram,,true,true,,,ZSK_LOGSYS,PROG/P,KLOSES,DE,EC3,logisches system in t000 knallen,active,2016-09-02T20:23:18Z,KLOSES,1998-04-07T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
6100954e-72ac-4c59-9105-e6722aedd546,false,executableProgram,,true,true,,,ZSK_MANDANTENKOPIE_AUSNAHME,PROG/P,KLOSES,DE,EC3,"tabellen einfügen, die bei der md-kopie nicht berücksichtigt werden",active,2016-09-02T20:23:18Z,KLOSES,1998-06-04T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
eaf4db99-9fcf-40ce-b7e5-22d482fc8730,false,executableProgram,,true,true,,,ZSK_MODIFY_BWOLTP_RFCDEST,PROG/P,KLOSES,DE,TI4,ZSK_MODIFY)BWOLTP_RFCDEST,active,2016-09-02T20:23:18Z,C5056040,2000-04-05T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
cb97f2c7-bcd3-4426-8bb0-3890a2a9c77b,false,executableProgram,,true,true,,,ZSK_MODIFY_RFCDEST_DMB,PROG/P,WUEST,DE,EC3,,active,2005-09-26T20:23:19Z,BAUERC,2000-08-09T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
