TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,PARENT
SAPMZAH_BOOKINGS06,SAPMZAH_BOOKINGS06,PROG/P,HERRMANNSPAH,DE,EN,EC3,BC414: Creating Change Documents,active,2016-09-02T20:11:12Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,modulePool,,true,true,Root
ZAH_WDH_SELECT_VORLAGE,ZAH_WDH_SELECT_VORLAGE,PROG/P,HERRMANNSPAH,DE,EN,EC3,Bad Database Access,active,2016-09-02T20:16:23Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
SAPMZAH_BOOKINGS07,SAPMZAH_BOOKINGS07,PROG/P,HERRMANNSPAH,DE,EN,EC3,BC414: Creating Change Documents,active,2016-09-02T20:11:12Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,modulePool,,true,true,Root
ZAH_BUENDELUNG,ZAH_BUENDELUNG,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_BUENDELUNG,active,2016-09-02T20:16:16Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,executableProgram,test,true,true,Root
ZAH_EXEC_SQL,ZAH_EXEC_SQL,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_EXEC_SQL,active,2016-09-02T20:16:18Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_SFLIGHT00_FOR_UPDATE,ZAH_SFLIGHT00_FOR_UPDATE,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_SFLIGHT00_FOR_UPDATE,active,2016-09-02T20:16:22Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,executableProgram,test,true,true,Root
ZAH_SFLIGHT00_PARALLEL,ZAH_SFLIGHT00_PARALLEL,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_SFLIGHT00_PARALLEL,active,2016-09-02T20:16:22Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,executableProgram,test,true,true,Root
ZAH_SFLIGHT00_SELECT,ZAH_SFLIGHT00_SELECT,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_SFLIGHT_SELECT,active,2016-09-02T20:16:22Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_SPFLI,ZAH_SPFLI,PROG/P,HERRMANNSPAH,DE,DE,EC3,Verbindungsdaten anzeigen,active,2016-09-02T20:16:22Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,executableProgram,test,true,true,Root
ZAH_BUFFER,ZAH_BUFFER,PROG/P,HERRMANNSPAH,DE,EN,EC3,Program ZAH_BUFFER,active,2016-09-02T20:16:16Z,HERRMANNSPAH,2001-12-28T00:00:00Z,,false,executableProgram,,true,true,Root
