OBJECT_TYPE,OBJECT_NAME,TECH_NAME,OBJECT_URI,OBJECT_VIT_URI,EXPANDABLE
DEVC/K,ZDEMO_SFINTEGRATION,ZDEMO_SFINTEGRATION,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_SFINTEGRATION,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_SFINTEGRATION,X
DEVC/K,ZDG1,ZDG1,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDG1,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDG1,X
DEVC/K,ZDGU,ZDGU,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDGU,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDGU,X
DEVC/K,ZDMK,ZDMK,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDMK,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDMK,X
DEVC/K,ZDOCUMENT_SYSTEM01,ZDOCUMENT_SYSTEM01,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDOCUMENT_SYSTEM01,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDOCUMENT_SYSTEM01,X
DEVC/K,ZDOI_DEMO,ZDOI_DEMO,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDOI_DEMO,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDOI_DEMO,X
DEVC/K,ZDPR1824,ZDPR1824,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR1824,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR1824,X
DEVC/K,ZDPR50000547,ZDPR50000547,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR50000547,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR50000547,X
DEVC/K,ZDPR60000936,ZDPR60000936,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR60000936,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR60000936,X
DEVC/K,ZDPR60001010,ZDPR60001010,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR60001010,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR60001010,X
DEVC/K,ZDPR740_PERSONAS_REPORT,ZDPR740_PERSONAS_REPORT,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR740_PERSONAS_REPORT,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR740_PERSONAS_REPORT,X
DEVC/K,ZDPR_0060003580,ZDPR_0060003580,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_0060003580,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_0060003580,X
DEVC/K,ZDPR_1034,ZDPR_1034,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_1034,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_1034,X
DEVC/K,ZDPR_60001363,ZDPR_60001363,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_60001363,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_60001363,X
DEVC/K,ZDPR_MYBOX_WATCH,ZDPR_MYBOX_WATCH,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_MYBOX_WATCH,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_MYBOX_WATCH,X
DEVC/K,ZDPR_SD101,ZDPR_SD101,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_SD101,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_SD101,X
DEVC/K,ZDPR_UI5_THEMEDESIGNER,ZDPR_UI5_THEMEDESIGNER,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_UI5_THEMEDESIGNER,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDPR_UI5_THEMEDESIGNER,X
DEVC/K,ZDS400_COURSE,ZDS400_COURSE,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDS400_COURSE,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDS400_COURSE,X
DEVC/K,ZEAM_8674,ZEAM_8674,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZEAM_8674,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZEAM_8674,X
