ID,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
6c004457-c6ef-4d92-8c8a-963768ea86bf,ZT_PLM415,SCAT/GT,BURMANM,DE,EC3,PLM415      QM in procurement    (4.7),active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
2f9a74eb-8d56-4062-a677-dd2e2222361f,ZT_PLM415_01,SCAT/GT,BURMANM,DE,EC3,LO715 Stammdaten,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
18684ab4-57ce-4fac-b7a4-a7efd1253ed3,ZT_PLM415_02,SCAT/GT,BURMANM,DE,EC3,PLM415    Transactional data  (4.7),active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
15fe3d75-f5e9-44a1-99a2-e8a32a8adc19,ZT_PLM415_ENGL,SCAT/GT,BURMANM,DE,F33,PLM415   Translation   (4.7),active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
7af538cf-6bfd-44b3-9d14-c45ea449f50b,ZT_PLM420,SCAT/GT,BURMANM,DE,EC3,PLM420     4.7         QM in manufacturing,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
36046bd5-2a67-4c4c-8e2a-ea7b541e643d,ZT_PLM420_01,SCAT/GT,BURMANM,DE,EC3,PLM420  Stammdaten 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
fd5bba08-f706-4c15-b324-d840790371ea,ZT_PLM420_02,SCAT/GT,BURMANM,DE,EC3,PLM420       Teach-CATT for customizing settings,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
d9b3018e-0a2c-4ad2-84a9-3eb5cc14f6cf,ZT_PLM420_ENGL,SCAT/GT,BURMANM,DE,F33,PLM420   Translation   (4.7),active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
ffa94541-f2a9-4b84-a61b-d5b3d98d6469,ZT_PLM421,SCAT/GT,BURMANM,DE,EC3,PLM421    4.7      QM in process industry,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
b64798b6-1a01-444e-8078-ab201938c6b0,ZT_PLM421_01,SCAT/GT,BURMANM,DE,EC3,PLM421    4.7      QM in process industry,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
de8cf5a7-4770-4017-960c-6ce34043534a,ZT_PLM421_01_F33VERSION,SCAT/GT,BURMANM,DE,F33,PLM421    4.7      QM in process industry,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
4c22af97-3b15-41bb-9211-168923692785,ZT_PLM421_02,SCAT/GT,BURMANM,DE,EC3,PLM421    4.7      QM in process industry,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
3b6855c6-b79b-4e32-a901-ab15f5ff6a23,ZT_PLM421_ENGL,SCAT/GT,BURMANM,DE,F33,PLM421    4.7      QM in process industry,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
9d0b835e-9e11-4347-a17d-f4d9b8fbfa92,ZT_PLM425,SCAT/GT,BURMANM,DE,EC3,PLM425     4.7    QM in Sales & Distribution/ Quality certificate,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
cdbb70e9-a933-461c-9089-c65a3df97547,ZT_PLM425_01,SCAT/GT,BURMANM,DE,EC3,LO725 Stammdaten,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
e03954bf-7e48-4d67-a187-636a1117864f,ZT_PLM425_02,SCAT/GT,BURMANM,DE,EC3,PLM425  Bewegungsdaten  4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
dc632cb9-4f6b-48d0-80d4-5c82fcff3827,ZT_PLM425_TEST,SCAT/GT,BURMANM,DE,EC3,LO725  Bewegungsdaten                           DE,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
04eb0eb6-2869-4101-abc9-468a20c6c1a3,ZT_PLM_CUST_NOTIFICATION,SCAT/GT,BURMANM,DE,EC3,,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
c25f5025-b3f2-4383-9fb7-85cc4da68542,ZT_PLM_CUST_NOTIFICATION_DE,SCAT/GT,BURMANM,DE,EC3,PLM400    CATT for the teach system,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
8b393503-a66a-4cee-b7c6-8ce124632ee6,ZT_PLM_CUST_NOTIFICATION_EN,SCAT/GT,BURMANM,DE,EC3,PLM400    CATT for the teach system,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
193db71a-95ca-4682-a64e-4bdf1e7e61a5,ZT_PLM_CUST_NOTIFICATION_FR,SCAT/GT,BURMANM,DE,EC3,PLM400    CATT for the teach system,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
ca0c744f-3a90-4fbe-8991-8eac3e161c4d,ZT_PLM_TEST_CATT,SCAT/GT,BURMANM,DE,EC3,PLM-Test-CATT,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
79f33cd3-0d3d-495d-bbec-8e2b60461624,ZT_PO13_21,SCAT/GT,RENDES,EN,EC3,PO13 Maintain Position 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
c729e092-4186-48ac-b412-fceeb66490e6,ZT_POF1_01,SCAT/GT,BURMANM,DE,TE3,Package instruction - Create determination recs.,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
e6decc6e-451e-4c82-b47a-a5617d83ec18,ZT_POF1_02,SCAT/GT,BURMANM,EN,TE3,creates determination for pack. instr.,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
0955c933-fd23-4761-b8e8-e1dc9ffaa38f,ZT_POP1_01,SCAT/GT,BURMANM,DE,TE3,Create packing instruction,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
70ada07c-ddf0-40a9-845c-e2f381062e51,ZT_POP1_02,SCAT/GT,BURMANM,EN,TE3,Creates the packing instruction,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
4660bf4e-6577-400d-80e8-8800c7a3c442,ZT_POP2_01,SCAT/GT,BURMANM,DE,F35,POP2   4.7     Packing instruction w/o profile,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
ff1c969b-0d86-43d0-b038-c7940bfa57cc,ZT_PU03_03,SCAT/GT,RENDES,DE,EC3,PU03 Abrechnungsstatus ändern  4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
7fc16258-522e-4403-84e6-705b9ded5ab2,ZT_PU03_04,SCAT/GT,RENDES,DE,EC3,PU03 Abrechnungsstatus ändern 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
0f80343a-2554-4b7e-a14c-41720ea871aa,ZT_PUMP_R3_RF1,SCAT/GT,BURMANM,DE,EC3,"PUMP_01 Stammdaten ( Arbeitsplätze T-E##,T-L##, ... )      DE",active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
bca0dbd8-7de1-40b6-946f-177c8b3bc8ce,ZT_PUMP_R3_RF2,SCAT/GT,BURMANM,DE,EC3,PUMP_03 Stammdaten ( R-F2## )                     DE,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
62e36d06-4ed4-40b9-bed4-0ab6083e61c2,ZT_QA07_01,SCAT/GT,BURMANM,DE,E04,Deadline Monitoring of Batches,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
4d0ebbd8-3060-41b0-8fab-fbca605b7a13,ZT_QA11_03,SCAT/GT,BURMANM,DE,E04,Record Usage Decision for inspection lot,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
a7539f31-619d-4c7f-9195-32c634b44978,ZT_QDV2_01,SCAT/GT,HENEKAA,DE,I19,QDV2 Stichprobenverfahren ändern,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
fcb141c6-bf70-4c41-b929-a16bfafce738,ZT_QE01_03,SCAT/GT,BURMANM,DE,E04,Record results for inspection lot,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
d0edc172-2109-4fb7-9dc0-ffe4aa359eac,ZT_QM01_02,SCAT/GT,BURMANM,DE,EC3,QM01    4.7      Create quality notification,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
a779a8aa-60bc-403e-b83f-88b5493d915e,ZT_RAVI_01,SCAT/GT,CATT_USER,EN,TE3,Creating company codes,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
d328379e-eadc-4e18-ac55-e85691d55483,ZT_RAVI_02,SCAT/GT,CATT_USER,DE,TE3,Maintaining address for company codes,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
e77232e2-c472-4004-9a5a-3b4d831c0140,ZT_RAVI_03,SCAT/GT,CATT_USER,DE,TE3,Defining Accounting codes,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
8b5fcfdf-7b6d-457e-859d-71f99b1282cb,ZT_RAVI_04,SCAT/GT,CATT_USER,DE,TE3,Assigning accounting codes and valuation areas,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
dc3b2766-f189-4217-9ae4-d42ac2f44449,ZT_RAVI_05,SCAT/GT,CATT_USER,EN,TE3,Initializing parallel valuation areas,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
013c22ce-e0b7-4445-bcda-f65ff1c5603a,ZT_RAVI_06,SCAT/GT,CATT_USER,DE,TE3,Control of processing&derived business transactions,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
c514639a-c176-4992-bffd-3380ff6c56c7,ZT_RAVI_07_EUR,SCAT/GT,CATT_USER,DE,TE3,Maintaining house bank accounts in EUR,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
a8f6e866-93ca-4371-a0ed-4fdb8e61776e,ZT_RAVI_09,SCAT/GT,CATT_USER,DE,TE3,Creating a depot,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
