TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY
PA9992,PA9992,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9992,active,2016-09-02T14:46:16Z,PITTEN,,
PA9993,PA9993,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9993,active,2016-09-02T14:46:16Z,PITTEN,,
PA9995,PA9995,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9995,active,2016-09-02T14:46:16Z,PITTEN,,
PA9996,PA9996,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9996,active,2016-09-02T14:46:16Z,PITTEN,,
PA9997,PA9997,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9997,active,2016-09-02T14:46:17Z,PITTEN,,
PA9998,PA9998,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9998,active,2016-09-02T14:46:17Z,PITTEN,,
ZADRUSAB,ZADRUSAB,TABL/DT,KREICHGAUER,EN,EN,EC3,Adress Data for Usability Example,active,2016-09-02T12:15:38Z,KREICHGAUER,,
ZCLUSTDATA,ZCLUSTDATA,TABL/DT,IDADMIN,EN,EN,IMG,"Data ""piece"" definitions for data cluster reporting",active,2016-09-02T11:38:33Z,HENRIK,,
ZCLUSTID,ZCLUSTID,TABL/DT,IDADMIN,EN,EN,IMG,Cluster IDs for data cluster reporting,active,2016-09-02T11:38:33Z,HENRIK,,
ZCLUSTKEY,ZCLUSTKEY,TABL/DT,IDADMIN,EN,EN,IMG,Cluster key definitions for data cluster reporting,active,2016-09-02T11:38:33Z,HENRIK,,
ZCLUSTKEY2,ZCLUSTKEY2,TABL/DT,IDADMIN,EN,EN,IMG,Actual key information for data cluster reporting,active,2016-09-02T11:38:33Z,HENRIK,,
ZDRZ0,ZDRZ0,TABL/DT,BERANEK,DE,EN,EC3,Durchrechnungszeiträume,active,2016-09-02T12:15:58Z,BERANEK,,
ZEREC_DATA_TRANS,ZEREC_DATA_TRANS,TABL/DT,PITTEN,EN,EN,EC3,Staging table for holding transferred Data,active,2016-09-02T11:38:40Z,PITTEN,,
ZMAT_REQ,ZMAT_REQ,TABL/DT,PITTEN,EN,EN,EC3,Material Request,active,2016-09-02T12:16:09Z,PITTEN,,
ZSEMBPSA,ZSEMBPSA,TABL/DT,SILVA,EN,EN,EC3,Actual line item table,active,2016-09-02T12:16:23Z,SILVA,,
ZSEMBPSC,ZSEMBPSC,TABL/DT,SILVA,EN,EN,EC3,Object table 2,active,2016-09-02T12:16:23Z,SILVA,,
ZSEMBPSO,ZSEMBPSO,TABL/DT,SILVA,EN,EN,EC3,Object table 1,active,2016-09-02T12:16:23Z,SILVA,,
ZSEMBPSP,ZSEMBPSP,TABL/DT,SILVA,EN,EN,EC3,Plan line items table,active,2016-09-02T12:16:23Z,SILVA,,
ZSEMBPST,ZSEMBPST,TABL/DT,SILVA,EN,EN,EC3,Summary table,active,2016-09-02T12:16:23Z,SILVA,,
ZSSAUTHCHK,ZSSAUTHCHK,TABL/DT,IDADMIN,EN,EN,IMG,Table for auth. check in Crystal Info/Crystal Reports,active,2016-09-02T11:39:03Z,IDADMIN,,
ZSSAUTHFCN,ZSSAUTHFCN,TABL/DT,HENRIK,EN,EN,RD3,Crystal Decisions Security Definitions for functions,active,2016-09-02T11:39:03Z,HENRIK,,
ZSSAUTHKEY,ZSSAUTHKEY,TABL/DT,IDADMIN,EN,EN,IMG,Table for Crystal authorization checks.,active,2016-09-02T13:02:21Z,IDADMIN,,
ZSSAUTHOBJ,ZSSAUTHOBJ,TABL/DT,IDADMIN,EN,EN,IMG,Table for Crystal authorization checks,active,2016-09-02T12:16:15Z,IDADMIN,,
ZSSAUTHREF,ZSSAUTHREF,TABL/DT,IDADMIN,EN,EN,IMG,Crystal Decisions authorization references,active,2016-09-02T12:16:15Z,IDADMIN,,
ZTEMPSURVERDET,ZTEMPSURVERDET,TABL/DT,PITTEN,EN,EN,EC3,RE Form,active,2016-09-02T11:39:10Z,PITTEN,,
ZBILL_HRS,ZBILL_HRS,VIEW/DV,COPLEN,EN,EN,DS1,Billing Hours,active,2016-09-02T14:50:00Z,COPLEN,,
ZBILL_RATE,ZBILL_RATE,VIEW/DV,COPLEN,EN,EN,DS1,Billing Rate Information,active,2016-09-02T14:50:01Z,COPLEN,,
ZV_OLR3_VBAK,ZV_OLR3_VBAK,VIEW/DV,DAVIS,EN,EN,IDT,"SD Contract: Existence, Search Help (Without WBS El., Order)",active,2016-09-02T14:06:40Z,DAVIS,,
ZV_OLR3_VBAK_CON,ZV_OLR3_VBAK_CON,VIEW/DV,DAVIS,EN,EN,IDT,"SD Contract: Existence, Search Help (Without WBS El., Order)",active,2016-09-02T14:06:41Z,DAVIS,,
ZV_OLR3_VBAX,ZV_OLR3_VBAX,VIEW/DV,DAVIS,EN,EN,IDT,"SD Contract, VBAK + VBUK: Consistency Check",active,2016-09-02T14:06:41Z,DAVIS,,
ZBOM_TAB,ZBOM_TAB,TTYP/DA,I044319,EN,EN,L53,BOM table for BDC,active,2016-09-02T13:06:42Z,I044319,,
ZDOKAR_TAB,ZDOKAR_TAB,TTYP/DA,I044319,EN,EN,L53,Table for ZDOKAR,active,2016-09-02T12:18:48Z,I044319,,
