OBJECT_TYPE,OBJECT_NAME,TECH_NAME,OBJECT_URI,OBJECT_VIT_URI,EXPANDABLE
FUGR/F,/AIN/PRNFILTERC,/AIN/SAPLPRNFILTERC,/sap/bc/adt/functions/groups/%2fain%2fprnfilterc,/sap/bc/adt/vit/wb/object_type/fugrf/object_name/%2fAIN%2fPRNFILTERC,X
FUGR/F,/AIN/PRNGRAIFLTC,/AIN/SAPLPRNGRAIFLTC,/sap/bc/adt/functions/groups/%2fain%2fprngraifltc,/sap/bc/adt/vit/wb/object_type/fugrf/object_name/%2fAIN%2fPRNGRAIFLTC,X
FUGR/F,/AIN/PRNGTINFLTC,/AIN/SAPLPRNGTINFLTC,/sap/bc/adt/functions/groups/%2fain%2fprngtinfltc,/sap/bc/adt/vit/wb/object_type/fugrf/object_name/%2fAIN%2fPRNGTINFLTC,X
FUGR/F,/AIN/PRN_DETERMINATION,/AIN/SAPLPRN_DETERMINATION,/sap/bc/adt/functions/groups/%2fain%2fprn_determination,/sap/bc/adt/vit/wb/object_type/fugrf/object_name/%2fAIN%2fPRN_DETERMINATION,X
FUGR/F,/AIN/PRN_DETPR_C,/AIN/SAPLPRN_DETPR_C,/sap/bc/adt/functions/groups/%2fain%2fprn_detpr_c,/sap/bc/adt/vit/wb/object_type/fugrf/object_name/%2fAIN%2fPRN_DETPR_C,X
FUGR/F,/AIN/PRN_FRMT_C,/AIN/SAPLPRN_FRMT_C,/sap/bc/adt/functions/groups/%2fain%2fprn_frmt_c,/sap/bc/adt/vit/wb/object_type/fugrf/object_name/%2fAIN%2fPRN_FRMT_C,X
TRAN/T,/AIN/38000026,/AIN/38000026,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2f38000026,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2f38000026,
TRAN/T,/AIN/ASGN_PRF_FORMAT,/AIN/ASGN_PRF_FORMAT,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fASGN_PRF_FORMAT,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fASGN_PRF_FORMAT,
TRAN/T,/AIN/PRFASGN_FILTER,/AIN/PRFASGN_FILTER,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fPRFASGN_FILTER,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fPRFASGN_FILTER,
TRAN/T,/AIN/PRFASGN_GRAIFLT,/AIN/PRFASGN_GRAIFLT,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fPRFASGN_GRAIFLT,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fPRFASGN_GRAIFLT,
TRAN/T,/AIN/PRFASGN_GTNFLT,/AIN/PRFASGN_GTNFLT,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fPRFASGN_GTNFLT,/sap/bc/adt/vit/wb/object_type/trant/object_name/%2fAIN%2fPRFASGN_GTNFLT,
MSAG/N,/AIN/PRN,/AIN/PRN,/sap/bc/adt/messageclass/%2fain%2fprn,/sap/bc/adt/vit/wb/object_type/msagn/object_name/%2fAIN%2fPRN,
SXCI/XI,/AIN/PRN_PRF000001,/AIN/PRN_PRF000001,/sap/bc/adt/vit/wb/object_type/sxcixi/object_name/%2fAIN%2fPRN_PRF000001,/sap/bc/adt/vit/wb/object_type/sxcixi/object_name/%2fAIN%2fPRN_PRF000001,
DEVC/K,/AIN/PROFILE,/AIN/PROFILE,/sap/bc/adt/vit/wb/object_type/devck/object_name/%2fAIN%2fPROFILE,/sap/bc/adt/vit/wb/object_type/devck/object_name/%2fAIN%2fPROFILE,X
PINF/KI,/AIN/PROFILE,/AIN/PROFILE,/sap/bc/adt/vit/wb/object_type/pinfki/object_name/%2fAIN%2fPROFILE,/sap/bc/adt/vit/wb/object_type/pinfki/object_name/%2fAIN%2fPROFILE,
TABL/DT,/AIN/TPRFATTRB,/AIN/TPRFATTRB,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFATTRB,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFATTRB,
TABL/DT,/AIN/TPRFATTRBT,/AIN/TPRFATTRBT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFATTRBT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFATTRBT,
TABL/DT,/AIN/TPRFELEMATR,/AIN/TPRFELEMATR,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELEMATR,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELEMATR,
TABL/DT,/AIN/TPRFELEMENT,/AIN/TPRFELEMENT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELEMENT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELEMENT,
TABL/DT,/AIN/TPRFELEMSET,/AIN/TPRFELEMSET,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELEMSET,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELEMSET,
TABL/DT,/AIN/TPRFELESETT,/AIN/TPRFELESETT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELESETT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELESETT,
